id,year,crop,season,min_support_price
322,2012-2013,Maize,Kharif,1175
323,2012-2013,Ragi,Kharif,1500
324,2012-2013,Arhar(Tur),Kharif,3850
325,2012-2013,"Moong,",Kharif,4400
326,2012-2013,Urad,Kharif,4300
327,2012-2013,Cotton,Kharif,3600
328,2012-2013,Cotton H-4,Kharif,3900
329,2012-2013,Groundnut In Shell,Kharif,3700
330,2012-2013,Sunflower  Seed,Kharif,3700
331,2012-2013,Soyabeen - Black,Kharif,2200
332,2012-2013,Soyabeen - Yellow,Kharif,2240
333,2012-2013,Sesamum,Kharif,4200
334,2012-2013,Nigerseed,Kharif,3500
335,2012-2013,Wheat,Rabi,1350
336,2012-2013,Barley,Rabi,980
337,2012-2013,Gram,Rabi,3000
338,2012-2013,Masur (Lentil),Rabi,2900
339,2012-2013,Rapeseed/Mustard,Rabi,3000
340,2012-2013,Safflower,Rabi,2800
341,2012-2013,Toria,Rabi,2970
342,2012-2013,Copra - Milling,Others,5100
343,2012-2013,Copra - Ball,Others,5350
344,2012-2013,De-Husked Coconut,Others,1400
345,2012-2013,Jute,Others,2200
346,2012-2013,Sugarcane ,Others,170
347,2010-2011,Paddy - Common,Kharif,1000
348,2010-2011,Paddy - Grade 'A',Kharif,1030
349,2010-2011,Jowar - Hybrid,Kharif,880
350,2010-2011,Jowar - Maldandi,Kharif,900
351,2010-2011,Bajra,Kharif,880
352,2010-2011,Maize,Kharif,880
353,2010-2011,Ragi,Kharif,965
354,2010-2011,Arhar(Tur),Kharif,3000
355,2010-2011,"Moong,",Kharif,3170
356,2010-2011,Urad,Kharif,2900
357,2010-2011,Cotton,Kharif,2500
358,2010-2011,Cotton H-4,Kharif,3000
359,2010-2011,Groundnut In Shell,Kharif,2300
360,2010-2011,Sunflower  Seed,Kharif,2350
361,2010-2011,Soyabeen - Black,Kharif,1400
362,2010-2011,Soyabeen - Yellow,Kharif,1440
363,2010-2011,Sesamum,Kharif,2900
364,2010-2011,Nigerseed,Kharif,2450
365,2010-2011,Wheat,Rabi,1120
366,2010-2011,Barley,Rabi,780
367,2010-2011,Gram,Rabi,2100
368,2010-2011,Masur (Lentil),Rabi,2250
369,2010-2011,Rapeseed/Mustard,Rabi,1850
370,2010-2011,Safflower,Rabi,1800
371,2010-2011,Toria,Rabi,1780
372,2010-2011,Copra - Milling,Others,4450
373,2010-2011,Copra - Ball,Others,4700
374,2010-2011,De-Husked Coconut,Others,1200
375,2010-2011,Jute,Others,1575
376,2010-2011,Sugarcane ,Others,139.12
377,2009-2010,Paddy - Common,Kharif,950
378,2009-2010,Paddy - Grade 'A',Kharif,980
379,2009-2010,Jowar - Hybrid,Kharif,840
380,2009-2010,Jowar - Maldandi,Kharif,860
381,2009-2010,Bajra,Kharif,840
382,2009-2010,Maize,Kharif,840
383,2009-2010,Ragi,Kharif,915
384,2009-2010,Arhar(Tur),Kharif,2300
385,2009-2010,"Moong,",Kharif,2760
386,2009-2010,Urad,Kharif,2520
387,2009-2010,Cotton,Kharif,2500
388,2009-2010,Cotton H-4,Kharif,3000
389,2009-2010,Groundnut In Shell,Kharif,2100
390,2009-2010,Sunflower  Seed,Kharif,2215
391,2009-2010,Soyabeen - Black,Kharif,1350
392,2009-2010,Soyabeen - Yellow,Kharif,1390
393,2009-2010,Sesamum,Kharif,2850
394,2009-2010,Nigerseed,Kharif,2405
395,2009-2010,Wheat,Rabi,1100
396,2009-2010,Barley,Rabi,750
397,2009-2010,Gram,Rabi,1760
398,2009-2010,Masur (Lentil),Rabi,1870
399,2009-2010,Rapeseed/Mustard,Rabi,1830
400,2009-2010,Safflower,Rabi,1680
401,2009-2010,Toria,Rabi,1735
402,2009-2010,Copra - Milling,Others,4450
403,2009-2010,Copra - Ball,Others,4700
404,2009-2010,De-Husked Coconut,Others,1200
405,2009-2010,Jute,Others,1375
406,2009-2010,Sugarcane ,Others,129.84
407,2008-2009,Paddy - Common,Kharif,850
408,2008-2009,Paddy - Grade 'A',Kharif,880
409,2008-2009,Jowar - Hybrid,Kharif,840
410,2008-2009,Jowar - Maldandi,Kharif,860
411,2008-2009,Bajra,Kharif,840
412,2008-2009,Maize,Kharif,840
413,2008-2009,Ragi,Kharif,915
414,2008-2009,Arhar(Tur),Kharif,2000
415,2008-2009,"Moong,",Kharif,2520
416,2008-2009,Urad,Kharif,2520
417,2008-2009,Cotton,Kharif,2500
418,2008-2009,Cotton H-4,Kharif,3000
419,2008-2009,Groundnut In Shell,Kharif,2100
420,2008-2009,Sunflower  Seed,Kharif,2215
421,2008-2009,Soyabeen - Black,Kharif,1350
422,2008-2009,Soyabeen - Yellow,Kharif,1390
423,2008-2009,Sesamum,Kharif,2750
424,2008-2009,Nigerseed,Kharif,2405
425,2008-2009,Wheat,Rabi,1080
426,2008-2009,Barley,Rabi,680
427,2008-2009,Gram,Rabi,1730
428,2008-2009,Masur (Lentil),Rabi,1870
429,2008-2009,Rapeseed/Mustard,Rabi,1830
430,2008-2009,Safflower,Rabi,1650
431,2008-2009,Toria,Rabi,1735
432,2008-2009,Copra - Milling,Others,3660
433,2008-2009,Copra - Ball,Others,3910
434,2008-2009,De-Husked Coconut,Others,988
435,2008-2009,Jute,Others,1250
436,2008-2009,Sugarcane ,Others,81.18
437,2007-2008,Paddy - Common,Kharif,645
438,2007-2008,Paddy - Grade 'A',Kharif,675
439,2007-2008,Jowar - Hybrid,Kharif,600
440,2007-2008,Jowar - Maldandi,Kharif,620
441,2007-2008,Bajra,Kharif,600
442,2007-2008,Maize,Kharif,620
443,2007-2008,Ragi,Kharif,600
444,2007-2008,Arhar(Tur),Kharif,1550
445,2007-2008,"Moong,",Kharif,1700
446,2007-2008,Urad,Kharif,1700
447,2007-2008,Cotton,Kharif,1800
448,2007-2008,Cotton H-4,Kharif,2030
449,2007-2008,Groundnut In Shell,Kharif,1550
450,2007-2008,Sunflower  Seed,Kharif,1510
451,2007-2008,Soyabeen - Black,Kharif,910
452,2007-2008,Soyabeen - Yellow,Kharif,1050
453,2007-2008,Sesamum,Kharif,1580
454,2007-2008,Nigerseed,Kharif,1240
455,2007-2008,Wheat,Rabi,1000
456,2007-2008,Barley,Rabi,650
457,2007-2008,Gram,Rabi,1600
458,2007-2008,Masur (Lentil),Rabi,1700
459,2007-2008,Rapeseed/Mustard,Rabi,1800
460,2007-2008,Safflower,Rabi,1650
461,2007-2008,Toria,Rabi,1735
462,2007-2008,Copra - Milling,Others,3620
463,2007-2008,Copra - Ball,Others,3870
464,2007-2008,Jute,Others,1055
465,2007-2008,Sugarcane ,Others,81.18
466,2007-2008,Tobacco - Black Soil (F2 Gr),Others,32
467,2007-2008,Tobacco - Light Soil (L2 Gr),Others,34
468,2006-2007,Paddy - Common,Kharif,580
469,2006-2007,Paddy - Grade 'A',Kharif,610
470,2006-2007,Jowar - Hybrid,Kharif,540
471,2006-2007,Jowar - Maldandi,Kharif,555
472,2006-2007,Bajra,Kharif,540
473,2006-2007,Maize,Kharif,540
474,2006-2007,Ragi,Kharif,540
475,2006-2007,Arhar(Tur),Kharif,1410
476,2006-2007,"Moong,",Kharif,1520
477,2006-2007,Urad,Kharif,1520
478,2006-2007,Cotton,Kharif,1770
479,2006-2007,Cotton H-4,Kharif,1990
480,2006-2007,Groundnut In Shell,Kharif,1520
481,2006-2007,Sunflower  Seed,Kharif,1500
482,2006-2007,Soyabeen - Black,Kharif,900
483,2006-2007,Soyabeen - Yellow,Kharif,1020
484,2006-2007,Sesamum,Kharif,1560
485,2006-2007,Nigerseed,Kharif,1220
486,2006-2007,Wheat,Rabi,750
487,2006-2007,Barley,Rabi,565
488,2006-2007,Gram,Rabi,1445
489,2006-2007,Masur (Lentil),Rabi,1545
490,2006-2007,Rapeseed/Mustard,Rabi,1715
491,2006-2007,Safflower,Rabi,1565
492,2006-2007,Toria,Rabi,1680
493,2006-2007,Copra - Milling,Others,3590
494,2006-2007,Copra - Ball,Others,3840
495,2006-2007,Jute,Others,1000
496,2006-2007,Sugarcane ,Others,80.25
497,2006-2007,Tobacco - Black Soil (F2 Gr),Others,32
498,2006-2007,Tobacco - Light Soil (L2 Gr),Others,34
499,2005-2006,Paddy - Common,Kharif,570
500,2005-2006,Paddy - Grade 'A',Kharif,600
501,2005-2006,Jowar - Hybrid,Kharif,525
502,2005-2006,Bajra,Kharif,525
503,2005-2006,Maize,Kharif,540
504,2005-2006,Ragi,Kharif,525
505,2005-2006,Arhar(Tur),Kharif,1400
506,2005-2006,"Moong,",Kharif,1520
507,2005-2006,Urad,Kharif,1520
508,2005-2006,Cotton,Kharif,1760
509,2005-2006,Cotton H-4,Kharif,1880
510,2005-2006,Groundnut In Shell,Kharif,1520
511,2005-2006,Sunflower  Seed,Kharif,1500
512,2005-2006,Soyabeen - Black,Kharif,900
513,2005-2006,Soyabeen - Yellow,Kharif,1010
514,2005-2006,Sesamum,Kharif,1550
515,2005-2006,Nigerseed,Kharif,1200
516,2005-2006,Wheat,Rabi,650
517,2005-2006,Barley,Rabi,550
518,2005-2006,Gram,Rabi,1435
519,2005-2006,Masur (Lentil),Rabi,1535
520,2005-2006,Rapeseed/Mustard,Rabi,1715
521,2005-2006,Safflower,Rabi,1565
522,2005-2006,Toria,Rabi,1680
523,2005-2006,Copra - Milling,Others,3570
524,2005-2006,Copra - Ball,Others,3820
525,2005-2006,Jute,Others,910
526,2005-2006,Sugarcane ,Others,79.5
527,2005-2006,Tobacco - Black Soil (F2 Gr),Others,32
528,2005-2006,Tobacco - Light Soil (L2 Gr),Others,34
529,2004-2005,Paddy - Common,Kharif,560
530,2004-2005,Paddy - Grade 'A',Kharif,590
531,2004-2005,Jowar - Hybrid,Kharif,515
532,2004-2005,Bajra,Kharif,515
533,2004-2005,Maize,Kharif,525
534,2004-2005,Ragi,Kharif,515
535,2004-2005,Arhar(Tur),Kharif,1390
536,2004-2005,"Moong,",Kharif,1410
537,2004-2005,Urad,Kharif,1410
538,2004-2005,Cotton,Kharif,1760
539,2004-2005,Cotton H-4,Kharif,1960
540,2004-2005,Groundnut In Shell,Kharif,1500
541,2004-2005,Sunflower  Seed,Kharif,1340
542,2004-2005,Soyabeen - Black,Kharif,900
543,2004-2005,Soyabeen - Yellow,Kharif,1000
544,2004-2005,Sesamum,Kharif,1500
545,2004-2005,Nigerseed,Kharif,1180
546,2004-2005,Wheat,Rabi,640
547,2004-2005,Barley,Rabi,540
548,2004-2005,Gram,Rabi,1425
549,2004-2005,Masur (Lentil),Rabi,1525
550,2004-2005,Rapeseed/Mustard,Rabi,1700
551,2004-2005,Safflower,Rabi,1550
552,2004-2005,Toria,Rabi,1665
553,2004-2005,Copra - Milling,Others,3500
554,2004-2005,Copra - Ball,Others,3750
555,2004-2005,Jute,Others,890
556,2004-2005,Sugarcane ,Others,74.5
557,2004-2005,Tobacco - Black Soil (F2 Gr),Others,32
558,2004-2005,Tobacco - Light Soil (L2 Gr),Others,34
559,2003-2004,Paddy - Common,Kharif,550
560,2003-2004,Paddy - Grade 'A',Kharif,580
561,2003-2004,Jowar - Hybrid,Kharif,505
562,2003-2004,Bajra,Kharif,505
563,2003-2004,Maize,Kharif,505
564,2003-2004,Ragi,Kharif,505
565,2003-2004,Arhar(Tur),Kharif,1360
566,2003-2004,"Moong,",Kharif,1370
567,2003-2004,Urad,Kharif,1370
568,2003-2004,Cotton,Kharif,1725
569,2003-2004,Cotton H-4,Kharif,1825
570,2003-2004,Groundnut In Shell,Kharif,1400
571,2003-2004,Sunflower  Seed,Kharif,1250
572,2003-2004,Soyabeen - Black,Kharif,840
573,2003-2004,Soyabeen - Yellow,Kharif,930
574,2003-2004,Sesamum,Kharif,1485
575,2003-2004,Nigerseed,Kharif,1155
